Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Domingo,12:00,15:00,Calle 72,Portal Norte,43,Moderada,Lluvioso
Jueves,6:00,9:00,Calle 72,Portal Sur,39,Moderada,Soleado
Sábado,21:00,24:00,Portal Sur,Calle 72,44,Moderada,Lluvioso
Viernes,6:00,9:00,Portal Norte,Calle 100,65,Alta,Soleado
Jueves,15:00,18:00,Av. Jiménez,Calle 100,17,Baja,Nublado
Jueves,15:00,18:00,Av. Jiménez,Calle 26,81,Alta,Nublado
Viernes,9:00,12:00,Héroes,Portal Norte,83,Alta,Lluvioso
Jueves,12:00,15:00,Calle 72,Portal Sur,80,Alta,Soleado
Domingo,12:00,15:00,Héroes,Portal Sur,3,Baja,Lluvioso
Domingo,9:00,12:00,Av. Jiménez,Portal Norte,77,Alta,Lluvioso
Domingo,15:00,18:00,Portal Norte,Calle 26,39,Moderada,Soleado
Sábado,18:00,21:00,Héroes,Calle 26,12,Baja,Soleado
Miércoles,9:00,12:00,Calle 100,Portal Sur,82,Alta,Lluvioso
Lunes,9:00,12:00,Calle 26,Calle 100,47,Moderada,Lluvioso
Lunes,18:00,21:00,Av. Jiménez,Calle 100,92,Alta,Lluvioso
Viernes,12:00,15:00,Portal Norte,Héroes,13,Baja,Lluvioso
Sábado,15:00,18:00,Calle 100,Portal Norte,89,Alta,Lluvioso
Viernes,9:00,12:00,Av. Jiménez,Portal Norte,98,Alta,Lluvioso
Domingo,9:00,12:00,Héroes,Portal Norte,64,Alta,Soleado
Jueves,21:00,24:00,Calle 100,Av. Jiménez,78,Alta,Lluvioso
Lunes,18:00,21:00,Calle 72,Calle 100,81,Alta,Nublado
Jueves,6:00,9:00,Héroes,Portal Sur,4,Baja,Lluvioso
Martes,9:00,12:00,Calle 72,Calle 26,5,Baja,Soleado
Jueves,6:00,9:00,Portal Norte,Calle 100,81,Alta,Nublado
Jueves,18:00,21:00,Av. Jiménez,Calle 72,19,Baja,Lluvioso
Martes,15:00,18:00,Portal Norte,Av. Jiménez,80,Alta,Nublado
Sábado,9:00,12:00,Héroes,Calle 72,31,Moderada,Soleado
Lunes,21:00,24:00,Portal Sur,Calle 26,83,Alta,Lluvioso
Martes,15:00,18:00,Héroes,Calle 100,35,Moderada,Soleado
Miércoles,15:00,18:00,Av. Jiménez,Calle 72,3,Baja,Lluvioso
Sábado,21:00,24:00,Av. Jiménez,Calle 72,72,Alta,Lluvioso
Viernes,18:00,21:00,Calle 72,Portal Sur,81,Alta,Nublado
Jueves,12:00,15:00,Portal Sur,Portal Norte,11,Baja,Lluvioso
Jueves,6:00,9:00,Calle 100,Portal Sur,55,Moderada,Lluvioso
Lunes,12:00,15:00,Héroes,Calle 100,28,Moderada,Soleado
Domingo,12:00,15:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Martes,18:00,21:00,Calle 100,Portal Sur,35,Moderada,Soleado
Lunes,12:00,15:00,Portal Sur,Calle 100,12,Baja,Lluvioso
Lunes,18:00,21:00,Portal Sur,Héroes,81,Alta,Nublado
Sábado,18:00,21:00,Héroes,Av. Jiménez,10,Baja,Lluvioso
Viernes,9:00,12:00,Héroes,Calle 26,40,Moderada,Nublado
Viernes,12:00,15:00,Calle 72,Portal Sur,81,Alta,Nublado
Domingo,15:00,18:00,Calle 100,Portal Norte,17,Baja,Nublado
Domingo,6:00,9:00,Calle 26,Av. Jiménez,64,Alta,Soleado
Sábado,15:00,18:00,Calle 100,Héroes,2,Baja,Soleado
Martes,21:00,24:00,Av. Jiménez,Calle 100,56,Moderada,Lluvioso
Viernes,6:00,9:00,Portal Norte,Av. Jiménez,68,Alta,Lluvioso
Martes,21:00,24:00,Portal Norte,Calle 26,65,Alta,Soleado
Sábado,21:00,24:00,Portal Sur,Héroes,69,Alta,Soleado
Viernes,15:00,18:00,Calle 72,Portal Sur,81,Alta,Nublado
Martes,15:00,18:00,Portal Sur,Av. Jiménez,39,Moderada,Soleado
Sábado,12:00,15:00,Av. Jiménez,Héroes,98,Alta,Lluvioso
Martes,12:00,15:00,Héroes,Calle 72,31,Baja,Soleado
Martes,12:00,15:00,Av. Jiménez,Calle 100,39,Moderada,Soleado
Miércoles,15:00,18:00,Calle 26,Calle 100,20,Baja,Nublado
Miércoles,12:00,15:00,Av. Jiménez,Calle 100,41,Moderada,Nublado
Lunes,9:00,12:00,Portal Norte,Calle 100,72,Alta,Soleado
Martes,9:00,12:00,Portal Norte,Portal Sur,80,Alta,Nublado
Lunes,9:00,12:00,Héroes,Calle 100,81,Alta,Nublado
Lunes,15:00,18:00,Calle 26,Héroes,3,Baja,Soleado
Miércoles,15:00,18:00,Calle 26,Calle 72,17,Baja,Soleado
Viernes,12:00,15:00,Portal Sur,Calle 72,20,Baja,Soleado
Viernes,21:00,24:00,Av. Jiménez,Calle 100,46,Moderada,Lluvioso
Lunes,15:00,18:00,Calle 100,Calle 72,40,Moderada,Lluvioso
Sábado,12:00,15:00,Portal Sur,Portal Norte,30,Moderada,Soleado
Sábado,18:00,21:00,Av. Jiménez,Portal Sur,30,Moderada,Soleado
Martes,12:00,15:00,Calle 100,Héroes,40,Moderada,Nublado
Viernes,18:00,21:00,Calle 72,Héroes,15,Baja,Lluvioso
Lunes,6:00,9:00,Calle 100,Calle 26,40,Moderada,Nublado
Viernes,12:00,15:00,Héroes,Av. Jiménez,73,Alta,Lluvioso
Martes,21:00,24:00,Calle 72,Héroes,31,Moderada,Soleado
Domingo,9:00,12:00,Portal Norte,Calle 72,35,Baja,Soleado
Lunes,21:00,24:00,Calle 72,Héroes,75,Alta,Lluvioso
Miércoles,12:00,15:00,Héroes,Portal Norte,5,Baja,Nublado
Martes,6:00,9:00,Calle 26,Portal Norte,35,Moderada,Soleado
Domingo,18:00,21:00,Av. Jiménez,Calle 100,7,Baja,Nublado
Viernes,6:00,9:00,Calle 26,Portal Sur,42,Moderada,Lluvioso
Martes,9:00,12:00,Calle 72,Av. Jiménez,1,Baja,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Portal Sur,58,Moderada,Lluvioso
Domingo,21:00,24:00,Calle 26,Héroes,16,Baja,Nublado
Jueves,18:00,21:00,Av. Jiménez,Portal Sur,41,Moderada,Nublado
Miércoles,6:00,9:00,Héroes,Portal Sur,82,Alta,Lluvioso
Jueves,9:00,12:00,Portal Sur,Calle 26,37,Baja,Soleado
Martes,12:00,15:00,Av. Jiménez,Portal Norte,6,Baja,Lluvioso
Viernes,9:00,12:00,Héroes,Portal Sur,40,Moderada,Soleado
Sábado,9:00,12:00,Portal Sur,Portal Norte,14,Baja,Lluvioso
Domingo,12:00,15:00,Portal Norte,Héroes,68,Alta,Soleado
Viernes,6:00,9:00,Calle 100,Héroes,80,Alta,Soleado
Lunes,9:00,12:00,Portal Sur,Calle 100,46,Moderada,Lluvioso
Viernes,18:00,21:00,Portal Sur,Héroes,4,Baja,Nublado
Miércoles,9:00,12:00,Calle 72,Portal Norte,73,Alta,Soleado
Sábado,21:00,24:00,Portal Norte,Calle 100,16,Baja,Lluvioso
Miércoles,15:00,18:00,Calle 26,Portal Norte,76,Alta,Lluvioso
Jueves,18:00,21:00,Av. Jiménez,Calle 26,40,Moderada,Nublado
Miércoles,18:00,21:00,Calle 72,Héroes,47,Moderada,Lluvioso
Sábado,21:00,24:00,Héroes,Calle 100,41,Moderada,Nublado
Jueves,15:00,18:00,Av. Jiménez,Calle 72,41,Moderada,Nublado
Martes,15:00,18:00,Calle 72,Portal Sur,51,Moderada,Lluvioso
Domingo,6:00,9:00,Portal Norte,Calle 26,5,Baja,Nublado
Jueves,9:00,12:00,Portal Sur,Calle 72,39,Moderada,Soleado
Martes,18:00,21:00,Héroes,Portal Sur,81,Alta,Nublado
Lunes,9:00,12:00,Av. Jiménez,Calle 72,40,Moderada,Soleado
Miércoles,21:00,24:00,Av. Jiménez,Portal Sur,43,Moderada,Lluvioso
Viernes,9:00,12:00,Av. Jiménez,Calle 100,41,Moderada,Nublado
Lunes,9:00,12:00,Calle 72,Calle 100,99,Alta,Lluvioso
Domingo,6:00,9:00,Calle 26,Calle 100,72,Alta,Lluvioso
Jueves,9:00,12:00,Portal Sur,Héroes,80,Alta,Nublado
Lunes,12:00,15:00,Calle 26,Portal Norte,32,Moderada,Soleado
Viernes,21:00,24:00,Calle 26,Calle 100,7,Baja,Lluvioso
Sábado,12:00,15:00,Portal Norte,Calle 72,1,Baja,Lluvioso
Jueves,6:00,9:00,Héroes,Portal Sur,48,Moderada,Lluvioso
Martes,9:00,12:00,Av. Jiménez,Calle 100,65,Alta,Soleado
Jueves,18:00,21:00,Portal Norte,Héroes,18,Baja,Soleado
Miércoles,15:00,18:00,Calle 100,Héroes,60,Alta,Lluvioso
Viernes,21:00,24:00,Calle 72,Portal Sur,5,Baja,Lluvioso
Sábado,21:00,24:00,Calle 72,Calle 26,21,Baja,Lluvioso
Sábado,18:00,21:00,Av. Jiménez,Calle 26,5,Baja,Nublado
Viernes,18:00,21:00,Calle 72,Calle 26,47,Moderada,Lluvioso
Miércoles,12:00,15:00,Calle 26,Portal Sur,41,Moderada,Nublado
Lunes,9:00,12:00,Portal Norte,Héroes,41,Moderada,Nublado
Lunes,9:00,12:00,Calle 100,Portal Norte,81,Alta,Lluvioso
Jueves,15:00,18:00,Calle 72,Calle 26,16,Baja,Soleado
Lunes,9:00,12:00,Portal Norte,Calle 100,80,Alta,Nublado
Lunes,9:00,12:00,Héroes,Portal Sur,8,Baja,Nublado
Lunes,6:00,9:00,Portal Sur,Héroes,81,Alta,Nublado
Viernes,15:00,18:00,Portal Sur,Calle 26,25,Moderada,Soleado
Sábado,18:00,21:00,Calle 72,Calle 26,71,Alta,Soleado
Jueves,21:00,24:00,Héroes,Av. Jiménez,80,Alta,Nublado
Martes,6:00,9:00,Calle 26,Héroes,39,Baja,Soleado
Lunes,15:00,18:00,Calle 26,Av. Jiménez,70,Alta,Soleado
Lunes,21:00,24:00,Calle 26,Portal Norte,32,Baja,Soleado
Domingo,15:00,18:00,Calle 26,Portal Norte,36,Moderada,Soleado
Viernes,9:00,12:00,Av. Jiménez,Portal Sur,55,Moderada,Lluvioso
Sábado,6:00,9:00,Calle 26,Calle 100,80,Alta,Nublado
Miércoles,15:00,18:00,Calle 100,Av. Jiménez,11,Baja,Nublado
Viernes,12:00,15:00,Av. Jiménez,Calle 26,21,Moderada,Soleado
Miércoles,21:00,24:00,Portal Norte,Calle 26,68,Alta,Soleado
Martes,21:00,24:00,Calle 100,Calle 72,49,Moderada,Lluvioso
Lunes,21:00,24:00,Héroes,Portal Norte,16,Baja,Nublado
Viernes,6:00,9:00,Calle 26,Portal Norte,14,Baja,Nublado
Lunes,21:00,24:00,Héroes,Portal Norte,81,Alta,Nublado
Domingo,6:00,9:00,Portal Sur,Héroes,40,Moderada,Soleado
Lunes,18:00,21:00,Calle 100,Portal Sur,76,Alta,Soleado
Jueves,15:00,18:00,Av. Jiménez,Héroes,36,Baja,Soleado
Viernes,15:00,18:00,Av. Jiménez,Portal Norte,40,Moderada,Nublado
Lunes,15:00,18:00,Calle 26,Portal Norte,12,Baja,Soleado
Domingo,21:00,24:00,Calle 26,Héroes,47,Moderada,Lluvioso
Jueves,12:00,15:00,Calle 100,Av. Jiménez,28,Baja,Soleado
Jueves,15:00,18:00,Héroes,Av. Jiménez,38,Baja,Soleado
Martes,15:00,18:00,Calle 72,Héroes,44,Moderada,Lluvioso
Lunes,18:00,21:00,Av. Jiménez,Portal Sur,44,Moderada,Lluvioso
Miércoles,12:00,15:00,Portal Norte,Calle 100,4,Baja,Lluvioso
Viernes,21:00,24:00,Calle 72,Calle 100,47,Moderada,Lluvioso
Jueves,18:00,21:00,Calle 26,Portal Norte,3,Baja,Lluvioso
Domingo,6:00,9:00,Calle 72,Héroes,81,Alta,Nublado
Lunes,9:00,12:00,Calle 100,Portal Norte,41,Moderada,Nublado
Miércoles,18:00,21:00,Calle 100,Calle 72,41,Moderada,Nublado
Miércoles,6:00,9:00,Portal Sur,Calle 72,20,Baja,Nublado
Martes,18:00,21:00,Av. Jiménez,Héroes,20,Baja,Nublado
Miércoles,15:00,18:00,Calle 26,Héroes,25,Moderada,Soleado
Martes,9:00,12:00,Calle 26,Portal Sur,37,Moderada,Soleado
Domingo,6:00,9:00,Portal Norte,Av. Jiménez,12,Baja,Lluvioso
Martes,9:00,12:00,Calle 100,Av. Jiménez,27,Baja,Soleado
Lunes,9:00,12:00,Calle 72,Av. Jiménez,17,Baja,Soleado
Viernes,15:00,18:00,Calle 26,Calle 72,39,Baja,Soleado
Miércoles,15:00,18:00,Calle 72,Héroes,8,Baja,Lluvioso
Lunes,9:00,12:00,Héroes,Portal Sur,20,Baja,Soleado
Martes,9:00,12:00,Calle 72,Calle 100,21,Baja,Lluvioso
Viernes,12:00,15:00,Calle 72,Portal Norte,55,Moderada,Lluvioso
Domingo,18:00,21:00,Av. Jiménez,Calle 26,80,Alta,Nublado
Viernes,21:00,24:00,Calle 72,Calle 26,59,Moderada,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Portal Sur,3,Baja,Nublado
Jueves,6:00,9:00,Calle 72,Héroes,80,Alta,Nublado
Viernes,18:00,21:00,Héroes,Av. Jiménez,2,Baja,Nublado
Martes,18:00,21:00,Héroes,Portal Norte,3,Baja,Lluvioso
Jueves,9:00,12:00,Portal Norte,Calle 26,47,Moderada,Lluvioso
Domingo,21:00,24:00,Portal Sur,Calle 26,80,Alta,Nublado
Domingo,15:00,18:00,Calle 100,Calle 26,40,Moderada,Nublado
Miércoles,6:00,9:00,Calle 72,Portal Sur,1,Baja,Nublado
Viernes,18:00,21:00,Calle 72,Portal Sur,9,Baja,Nublado
Viernes,9:00,12:00,Av. Jiménez,Calle 100,8,Baja,Lluvioso
Viernes,21:00,24:00,Calle 100,Av. Jiménez,68,Alta,Soleado
Domingo,18:00,21:00,Héroes,Calle 26,0,Baja,Nublado
Lunes,15:00,18:00,Portal Norte,Héroes,80,Alta,Nublado
Sábado,6:00,9:00,Portal Sur,Calle 100,9,Baja,Lluvioso
Viernes,6:00,9:00,Av. Jiménez,Calle 72,33,Moderada,Soleado
Martes,21:00,24:00,Calle 26,Héroes,80,Alta,Nublado
Sábado,6:00,9:00,Av. Jiménez,Calle 72,48,Moderada,Lluvioso
Domingo,9:00,12:00,Portal Sur,Calle 72,64,Alta,Soleado
Domingo,12:00,15:00,Calle 26,Calle 100,15,Baja,Soleado
Sábado,21:00,24:00,Portal Norte,Av. Jiménez,4,Baja,Nublado
Domingo,18:00,21:00,Héroes,Calle 26,96,Alta,Lluvioso
Lunes,21:00,24:00,Portal Norte,Calle 72,40,Moderada,Nublado
Domingo,9:00,12:00,Calle 72,Av. Jiménez,90,Alta,Lluvioso
Lunes,6:00,9:00,Héroes,Portal Sur,54,Moderada,Lluvioso
Martes,18:00,21:00,Calle 72,Portal Norte,35,Moderada,Soleado
Domingo,12:00,15:00,Portal Norte,Calle 100,60,Moderada,Lluvioso
Lunes,21:00,24:00,Calle 72,Av. Jiménez,2,Baja,Nublado
Domingo,18:00,21:00,Calle 72,Héroes,41,Moderada,Nublado
Viernes,12:00,15:00,Portal Sur,Calle 72,11,Baja,Lluvioso
Lunes,12:00,15:00,Av. Jiménez,Calle 26,11,Baja,Soleado
Jueves,18:00,21:00,Portal Norte,Av. Jiménez,19,Baja,Nublado
Lunes,18:00,21:00,Av. Jiménez,Portal Norte,27,Baja,Soleado
Lunes,15:00,18:00,Héroes,Portal Norte,79,Alta,Soleado
Sábado,12:00,15:00,Portal Norte,Calle 100,27,Moderada,Soleado
Jueves,21:00,24:00,Calle 100,Portal Sur,8,Baja,Lluvioso
Lunes,6:00,9:00,Calle 72,Calle 100,1,Baja,Lluvioso
Viernes,15:00,18:00,Calle 72,Portal Norte,79,Alta,Soleado
Viernes,6:00,9:00,Portal Norte,Calle 100,35,Moderada,Soleado
Jueves,15:00,18:00,Calle 26,Calle 100,80,Alta,Nublado
Miércoles,21:00,24:00,Portal Sur,Calle 26,39,Moderada,Soleado
