estacion,latitud,longitud,capacidad,tiempo_permanencia,hora_dia,clima,dia_semana,evento_especial,distancia_estaciones,hora_pico
Portal Del Norte,4.754521,-74.046076,70,7.82,5,nublado,laboral,1,19.32,1
Portal Del Norte,4.754521,-74.046076,28,27.93,6,lluvioso,laboral,1,9.88,0
Calle 26,4.615955,-74.072385,100,13.29,23,lluvioso,fin de semana,1,14.73,1
Calle 26,4.615955,-74.072385,65,18.84,7,lluvioso,fin de semana,0,2.79,0
Portal Sur,4.596921,-74.169589,98,25.96,21,soleado,laboral,0,7.99,0
Portal Del Norte,4.754521,-74.046076,16,14.91,11,soleado,fin de semana,1,19.75,0
Gobernacion,4.642477,-74.096455,94,28.19,10,nublado,laboral,0,16.78,0
Avenida Chile,4.665855,-74.074947,81,19.77,10,soleado,fin de semana,0,3.79,1
Portal El Dorado,4.681081,-74.121352,62,12.53,8,nublado,laboral,1,13.03,0
Avenida Chile,4.665855,-74.074947,98,13.01,11,nublado,fin de semana,1,12.91,1
Calle 100,4.685253,-74.05759,67,17.79,14,nublado,laboral,0,12.55,0
Avenida Chile,4.665855,-74.074947,13,16.04,4,nublado,laboral,0,17.42,0
Gobernacion,4.642477,-74.096455,45,18.17,12,nublado,fin de semana,0,14.05,0
Portal El Dorado,4.681081,-74.121352,61,6.83,10,lluvioso,fin de semana,0,3.54,1
Portal Sur,4.596921,-74.169589,78,26.98,20,nublado,fin de semana,0,7.03,1
Portal Sur,4.596921,-74.169589,75,20.04,7,soleado,fin de semana,0,1.3,0
Avenida Chile,4.665855,-74.074947,18,20.5,12,nublado,laboral,0,3.7,1
Portal Sur,4.596921,-74.169589,50,22.97,14,nublado,fin de semana,1,0.73,1
Portal El Dorado,4.681081,-74.121352,21,19.15,10,soleado,fin de semana,1,17.71,1
Gobernacion,4.642477,-74.096455,95,27.09,5,soleado,laboral,0,4.31,1
Avenida Chile,4.665855,-74.074947,21,26.39,17,nublado,laboral,0,1.53,1
Portal El Dorado,4.681081,-74.121352,81,26.78,8,lluvioso,fin de semana,1,7.14,1
Portal Sur,4.596921,-74.169589,98,26.68,14,lluvioso,fin de semana,1,18.41,0
Portal Del Norte,4.754521,-74.046076,86,27.26,19,lluvioso,fin de semana,0,17.64,0
Portal El Dorado,4.681081,-74.121352,42,11.46,4,lluvioso,fin de semana,1,1.13,1
Portal Del Norte,4.754521,-74.046076,76,16.08,13,lluvioso,fin de semana,0,11.84,1
Portal El Dorado,4.681081,-74.121352,97,9.47,21,nublado,laboral,1,17.85,1
Gobernacion,4.642477,-74.096455,34,17.9,5,lluvioso,laboral,1,7.31,0
Avenida Chile,4.665855,-74.074947,62,23.21,12,lluvioso,fin de semana,1,0.96,0
Portal Sur,4.596921,-74.169589,71,14.32,23,lluvioso,laboral,1,19.03,0
Gobernacion,4.642477,-74.096455,39,23.18,16,lluvioso,fin de semana,1,10.69,0
Portal Del Norte,4.754521,-74.046076,35,23.15,21,lluvioso,fin de semana,1,14.58,1
Portal Sur,4.596921,-74.169589,45,17.58,11,soleado,fin de semana,0,4.81,0
Portal Sur,4.596921,-74.169589,94,5.22,4,nublado,laboral,0,18.2,1
Calle 26,4.615955,-74.072385,13,24.55,10,soleado,laboral,1,13.78,0
Avenida Chile,4.665855,-74.074947,33,22.75,4,nublado,laboral,1,19.12,0
Calle 100,4.685253,-74.05759,93,19.96,13,soleado,fin de semana,0,10.04,1
Avenida Chile,4.665855,-74.074947,36,5.28,8,nublado,fin de semana,1,15.35,1
Calle 100,4.685253,-74.05759,94,5.87,21,soleado,laboral,0,9.3,1
Portal Sur,4.596921,-74.169589,48,18.04,5,lluvioso,fin de semana,0,9.32,0
Portal El Dorado,4.681081,-74.121352,99,7.66,5,soleado,laboral,0,13.4,1
Calle 26,4.615955,-74.072385,81,29.48,5,lluvioso,laboral,1,5.05,0
Portal Del Norte,4.754521,-74.046076,30,15.24,11,nublado,laboral,1,7.01,1
Calle 26,4.615955,-74.072385,80,10.5,13,lluvioso,fin de semana,1,15.43,1
Gobernacion,4.642477,-74.096455,62,20.84,12,nublado,fin de semana,0,14.39,0
Portal Del Norte,4.754521,-74.046076,67,12.1,21,nublado,laboral,0,7.03,1
Calle 26,4.615955,-74.072385,35,23.31,5,nublado,fin de semana,1,15.31,1
Calle 100,4.685253,-74.05759,12,8.22,16,soleado,laboral,0,2.86,0
Calle 26,4.615955,-74.072385,96,6.35,13,lluvioso,laboral,1,18.73,0
Portal Sur,4.596921,-74.169589,19,27.15,3,lluvioso,fin de semana,0,13.21,0
Portal Del Norte,4.754521,-74.046076,40,8.17,21,nublado,fin de semana,0,13.78,0
Calle 26,4.615955,-74.072385,29,22.03,20,lluvioso,laboral,0,3.83,1
Calle 100,4.685253,-74.05759,10,28.63,14,nublado,fin de semana,0,8.66,0
Calle 26,4.615955,-74.072385,10,8.45,16,lluvioso,laboral,1,14.23,0
Portal Del Norte,4.754521,-74.046076,70,13.62,5,lluvioso,fin de semana,0,7.73,0
Calle 26,4.615955,-74.072385,63,11.83,17,soleado,laboral,0,19.47,1
Portal Sur,4.596921,-74.169589,16,11.61,16,lluvioso,laboral,1,6.61,1
Portal Sur,4.596921,-74.169589,25,13.47,20,nublado,fin de semana,0,18.13,0
Avenida Chile,4.665855,-74.074947,47,8.14,16,nublado,fin de semana,0,6.07,0
Calle 26,4.615955,-74.072385,70,24.67,3,lluvioso,laboral,1,16.55,0
Calle 26,4.615955,-74.072385,39,5.99,23,soleado,fin de semana,1,9.0,1
Portal El Dorado,4.681081,-74.121352,33,23.43,3,nublado,laboral,0,4.35,1
Avenida Chile,4.665855,-74.074947,14,9.34,0,nublado,laboral,0,5.91,0
Calle 100,4.685253,-74.05759,52,11.56,5,nublado,laboral,1,17.91,0
Portal El Dorado,4.681081,-74.121352,59,13.49,14,lluvioso,laboral,0,9.74,0
Gobernacion,4.642477,-74.096455,54,14.52,4,soleado,laboral,1,4.06,0
Calle 100,4.685253,-74.05759,89,16.37,16,nublado,laboral,0,18.48,1
Gobernacion,4.642477,-74.096455,52,14.17,14,nublado,laboral,0,4.86,1
Calle 26,4.615955,-74.072385,35,11.22,4,nublado,laboral,0,0.95,1
Avenida Chile,4.665855,-74.074947,61,26.36,4,nublado,fin de semana,1,9.14,1
Portal Sur,4.596921,-74.169589,46,24.05,2,soleado,fin de semana,0,17.31,1
Calle 26,4.615955,-74.072385,49,6.35,0,nublado,laboral,0,10.39,1
Portal Del Norte,4.754521,-74.046076,23,21.77,12,nublado,fin de semana,1,14.8,0
Portal Del Norte,4.754521,-74.046076,74,25.62,10,nublado,laboral,0,3.34,1
Portal Del Norte,4.754521,-74.046076,72,19.54,2,lluvioso,laboral,1,15.56,1
Calle 26,4.615955,-74.072385,67,27.68,6,lluvioso,fin de semana,0,3.04,0
Calle 26,4.615955,-74.072385,60,14.58,20,lluvioso,laboral,0,11.77,0
Gobernacion,4.642477,-74.096455,97,26.45,9,soleado,fin de semana,0,10.6,1
Portal Sur,4.596921,-74.169589,55,18.85,18,soleado,fin de semana,1,6.54,0
Calle 100,4.685253,-74.05759,93,18.73,21,nublado,fin de semana,1,0.77,1
Portal Del Norte,4.754521,-74.046076,25,16.25,21,nublado,laboral,0,5.56,1
Calle 26,4.615955,-74.072385,39,7.75,19,lluvioso,fin de semana,1,12.51,0
Portal Del Norte,4.754521,-74.046076,19,13.7,17,lluvioso,laboral,1,8.09,0
Avenida Chile,4.665855,-74.074947,65,15.51,1,soleado,laboral,0,4.78,0
Gobernacion,4.642477,-74.096455,45,16.15,13,lluvioso,fin de semana,1,9.72,0
Portal Sur,4.596921,-74.169589,47,26.94,23,soleado,fin de semana,1,2.79,1
Portal Sur,4.596921,-74.169589,98,12.29,1,nublado,fin de semana,0,10.31,0
Portal Del Norte,4.754521,-74.046076,61,28.69,22,soleado,fin de semana,0,17.64,1
Portal Del Norte,4.754521,-74.046076,19,11.07,6,nublado,fin de semana,1,14.32,0
Portal El Dorado,4.681081,-74.121352,89,26.27,17,lluvioso,laboral,1,12.96,1
Calle 26,4.615955,-74.072385,80,15.12,5,nublado,fin de semana,1,10.13,0
Portal Del Norte,4.754521,-74.046076,59,24.49,7,soleado,fin de semana,1,7.04,1
Calle 100,4.685253,-74.05759,64,5.54,23,soleado,laboral,1,8.26,0
Portal Del Norte,4.754521,-74.046076,27,19.21,1,nublado,laboral,1,9.81,1
Portal Sur,4.596921,-74.169589,56,29.64,8,nublado,laboral,0,15.17,1
Calle 26,4.615955,-74.072385,100,16.75,5,nublado,laboral,1,14.11,0
Avenida Chile,4.665855,-74.074947,49,14.2,5,lluvioso,fin de semana,1,6.97,1
Portal Sur,4.596921,-74.169589,22,12.14,9,lluvioso,fin de semana,0,16.97,1
Gobernacion,4.642477,-74.096455,49,17.21,23,lluvioso,laboral,1,5.35,1
Portal Sur,4.596921,-74.169589,62,25.35,21,lluvioso,fin de semana,1,9.22,0
Calle 100,4.685253,-74.05759,86,5.27,13,soleado,laboral,0,4.8,1
Portal Del Norte,4.754521,-74.046076,63,19.64,16,lluvioso,fin de semana,0,17.64,1
Portal Sur,4.596921,-74.169589,39,26.37,21,nublado,laboral,1,13.2,0
Calle 100,4.685253,-74.05759,13,17.92,11,nublado,fin de semana,1,13.94,0
Calle 26,4.615955,-74.072385,62,29.25,15,nublado,fin de semana,1,15.63,1
Calle 100,4.685253,-74.05759,68,26.94,8,lluvioso,laboral,1,1.62,0
Avenida Chile,4.665855,-74.074947,52,11.93,7,soleado,laboral,1,10.41,1
Avenida Chile,4.665855,-74.074947,65,11.18,17,soleado,laboral,1,15.92,0
Portal Del Norte,4.754521,-74.046076,95,14.73,20,lluvioso,laboral,0,7.37,1
Avenida Chile,4.665855,-74.074947,84,26.86,7,nublado,fin de semana,0,14.51,1
Portal El Dorado,4.681081,-74.121352,38,11.75,21,nublado,fin de semana,0,15.33,0
Portal Del Norte,4.754521,-74.046076,86,18.29,8,soleado,laboral,1,18.03,0
Portal Sur,4.596921,-74.169589,80,18.23,18,nublado,laboral,1,19.64,1
Calle 100,4.685253,-74.05759,69,12.73,1,soleado,fin de semana,0,4.48,0
Calle 100,4.685253,-74.05759,95,17.36,10,nublado,fin de semana,0,5.06,1
Calle 26,4.615955,-74.072385,10,23.08,22,nublado,laboral,0,4.86,0
Calle 26,4.615955,-74.072385,61,23.94,0,nublado,fin de semana,0,16.47,1
Portal Sur,4.596921,-74.169589,97,11.8,10,lluvioso,fin de semana,0,13.06,1
Calle 26,4.615955,-74.072385,59,23.45,1,lluvioso,fin de semana,0,14.08,1
Portal Del Norte,4.754521,-74.046076,92,15.26,23,soleado,laboral,0,2.32,0
Calle 100,4.685253,-74.05759,18,22.93,2,lluvioso,fin de semana,0,1.33,1
Calle 100,4.685253,-74.05759,12,25.95,8,lluvioso,fin de semana,1,1.97,0
Calle 26,4.615955,-74.072385,89,23.05,8,soleado,fin de semana,0,8.63,1
Avenida Chile,4.665855,-74.074947,90,9.6,11,nublado,laboral,0,10.52,0
Avenida Chile,4.665855,-74.074947,85,28.17,10,nublado,fin de semana,0,18.4,1
Portal Del Norte,4.754521,-74.046076,90,24.55,14,soleado,fin de semana,0,11.33,1
Portal Sur,4.596921,-74.169589,60,16.34,8,soleado,fin de semana,1,2.42,1
Portal El Dorado,4.681081,-74.121352,35,15.81,10,nublado,fin de semana,0,1.13,0
Portal El Dorado,4.681081,-74.121352,51,19.97,15,nublado,fin de semana,1,11.48,0
Portal Sur,4.596921,-74.169589,92,12.64,13,nublado,fin de semana,0,9.47,1
Calle 26,4.615955,-74.072385,39,26.98,10,nublado,laboral,0,9.0,1
Gobernacion,4.642477,-74.096455,52,17.28,18,soleado,fin de semana,0,9.47,1
Portal El Dorado,4.681081,-74.121352,21,16.66,7,nublado,fin de semana,1,8.87,0
Portal El Dorado,4.681081,-74.121352,41,16.27,20,lluvioso,fin de semana,0,2.52,0
Portal El Dorado,4.681081,-74.121352,71,11.79,0,soleado,fin de semana,1,2.45,0
Calle 100,4.685253,-74.05759,25,29.07,15,soleado,fin de semana,0,17.68,1
Portal Del Norte,4.754521,-74.046076,24,24.16,14,nublado,laboral,1,7.94,1
Portal El Dorado,4.681081,-74.121352,81,8.24,7,nublado,laboral,0,17.9,0
Calle 100,4.685253,-74.05759,76,9.54,21,nublado,laboral,0,1.33,0
Avenida Chile,4.665855,-74.074947,12,21.54,1,soleado,fin de semana,1,7.73,1
Portal El Dorado,4.681081,-74.121352,99,9.12,11,soleado,laboral,1,9.22,0
Avenida Chile,4.665855,-74.074947,30,11.98,5,nublado,fin de semana,1,8.25,0
Gobernacion,4.642477,-74.096455,82,10.3,8,nublado,fin de semana,1,0.63,0
Portal Sur,4.596921,-74.169589,20,15.53,16,nublado,fin de semana,0,13.47,1
Portal El Dorado,4.681081,-74.121352,42,18.81,6,lluvioso,laboral,1,13.58,1
Portal Del Norte,4.754521,-74.046076,62,26.56,21,lluvioso,fin de semana,1,0.78,1
Calle 100,4.685253,-74.05759,91,17.49,19,soleado,laboral,0,7.8,0
Portal Del Norte,4.754521,-74.046076,19,23.45,2,soleado,fin de semana,0,11.9,1
Portal El Dorado,4.681081,-74.121352,99,9.46,14,lluvioso,fin de semana,1,8.74,1
Portal Sur,4.596921,-74.169589,100,28.76,5,soleado,laboral,0,13.47,1
Calle 26,4.615955,-74.072385,57,21.4,15,lluvioso,laboral,1,15.57,1
Calle 100,4.685253,-74.05759,92,18.15,11,soleado,laboral,0,11.33,1
Gobernacion,4.642477,-74.096455,12,22.64,6,lluvioso,fin de semana,0,4.3,1
Portal Sur,4.596921,-74.169589,41,27.45,9,lluvioso,fin de semana,0,6.78,1
Avenida Chile,4.665855,-74.074947,52,17.56,0,lluvioso,fin de semana,1,16.31,1
Calle 100,4.685253,-74.05759,51,15.38,12,lluvioso,fin de semana,0,10.16,1
Portal Del Norte,4.754521,-74.046076,39,29.62,18,nublado,fin de semana,1,5.91,0
Portal Del Norte,4.754521,-74.046076,61,7.64,7,soleado,fin de semana,1,17.1,0
Avenida Chile,4.665855,-74.074947,81,10.66,4,lluvioso,fin de semana,0,6.58,0
Portal Sur,4.596921,-74.169589,95,7.87,21,lluvioso,fin de semana,0,10.1,1
Portal Del Norte,4.754521,-74.046076,66,5.8,22,lluvioso,fin de semana,1,2.1,0
Gobernacion,4.642477,-74.096455,69,23.89,7,lluvioso,laboral,1,8.13,1
Portal Sur,4.596921,-74.169589,81,11.61,3,nublado,fin de semana,1,5.12,0
Calle 100,4.685253,-74.05759,96,19.97,11,soleado,laboral,0,7.02,1
Portal Del Norte,4.754521,-74.046076,35,10.14,3,lluvioso,laboral,0,6.61,0
Portal El Dorado,4.681081,-74.121352,35,19.86,10,lluvioso,laboral,1,17.28,1
Portal Sur,4.596921,-74.169589,32,23.14,15,nublado,fin de semana,1,16.97,0
Portal Sur,4.596921,-74.169589,36,11.65,11,soleado,laboral,1,12.42,0
Avenida Chile,4.665855,-74.074947,51,10.69,18,nublado,fin de semana,1,15.42,1
Gobernacion,4.642477,-74.096455,75,8.08,4,nublado,fin de semana,0,16.87,0
Calle 26,4.615955,-74.072385,77,26.82,23,soleado,fin de semana,0,5.54,0
Calle 100,4.685253,-74.05759,38,27.82,0,lluvioso,fin de semana,1,15.56,1
Portal El Dorado,4.681081,-74.121352,51,7.08,15,nublado,laboral,0,8.71,1
Calle 100,4.685253,-74.05759,39,5.94,19,lluvioso,fin de semana,1,2.67,1
Calle 100,4.685253,-74.05759,43,5.47,7,lluvioso,fin de semana,1,4.73,0
Gobernacion,4.642477,-74.096455,55,15.66,4,soleado,laboral,1,15.11,1
Portal Sur,4.596921,-74.169589,72,21.32,6,soleado,laboral,1,3.8,1
Portal Sur,4.596921,-74.169589,91,24.71,3,lluvioso,laboral,1,6.78,1
Avenida Chile,4.665855,-74.074947,89,19.69,1,soleado,laboral,0,0.73,1
Avenida Chile,4.665855,-74.074947,42,9.81,5,nublado,laboral,1,0.81,0
Gobernacion,4.642477,-74.096455,29,24.96,2,nublado,laboral,1,11.26,1
Portal Sur,4.596921,-74.169589,44,26.88,22,nublado,laboral,0,3.15,0
Portal Del Norte,4.754521,-74.046076,85,11.0,8,soleado,fin de semana,0,7.73,1
Portal El Dorado,4.681081,-74.121352,55,7.5,23,nublado,fin de semana,0,16.87,0
Avenida Chile,4.665855,-74.074947,91,20.55,6,nublado,laboral,1,3.34,0
Portal El Dorado,4.681081,-74.121352,10,6.04,0,soleado,fin de semana,0,1.59,0
Portal El Dorado,4.681081,-74.121352,51,13.81,21,soleado,laboral,0,10.29,1
Portal Sur,4.596921,-74.169589,50,24.51,23,soleado,fin de semana,1,12.56,1
Calle 100,4.685253,-74.05759,39,25.82,18,nublado,laboral,0,16.31,1
Gobernacion,4.642477,-74.096455,76,14.91,10,soleado,fin de semana,0,8.25,1
Portal Del Norte,4.754521,-74.046076,74,29.31,10,lluvioso,fin de semana,1,17.05,0
Calle 26,4.615955,-74.072385,55,20.68,15,lluvioso,laboral,0,3.83,0
Calle 26,4.615955,-74.072385,93,9.28,15,nublado,laboral,1,7.47,1
Gobernacion,4.642477,-74.096455,43,23.89,20,nublado,laboral,1,17.28,1
Calle 26,4.615955,-74.072385,92,22.39,12,soleado,fin de semana,1,12.02,1
Portal Del Norte,4.754521,-74.046076,47,24.43,2,soleado,fin de semana,1,5.61,0
Portal Del Norte,4.754521,-74.046076,44,18.83,8,soleado,fin de semana,0,7.42,0
Gobernacion,4.642477,-74.096455,18,17.51,1,lluvioso,laboral,0,9.25,0
Calle 100,4.685253,-74.05759,68,11.26,2,lluvioso,laboral,0,17.52,0
Portal Sur,4.596921,-74.169589,93,20.18,16,lluvioso,fin de semana,0,17.99,0
Portal El Dorado,4.681081,-74.121352,41,29.97,19,lluvioso,fin de semana,1,1.72,1
Avenida Chile,4.665855,-74.074947,46,19.93,8,soleado,laboral,1,12.16,1
Gobernacion,4.642477,-74.096455,97,15.85,5,nublado,laboral,0,18.13,1
Calle 26,4.615955,-74.072385,90,24.46,21,soleado,fin de semana,1,10.38,0
Portal El Dorado,4.681081,-74.121352,83,29.57,21,soleado,laboral,0,0.95,1
Gobernacion,4.642477,-74.096455,86,9.18,5,soleado,fin de semana,0,1.32,0
Calle 26,4.615955,-74.072385,86,23.21,6,soleado,fin de semana,0,18.6,0
Gobernacion,4.642477,-74.096455,49,29.63,4,lluvioso,laboral,0,8.13,1
Avenida Chile,4.665855,-74.074947,20,5.07,5,soleado,laboral,0,2.49,0
Portal Sur,4.596921,-74.169589,26,25.0,13,lluvioso,laboral,1,16.4,0
Calle 100,4.685253,-74.05759,15,12.36,3,lluvioso,laboral,0,13.63,1
Portal Del Norte,4.754521,-74.046076,77,25.45,16,soleado,fin de semana,1,14.12,1
Portal El Dorado,4.681081,-74.121352,36,19.99,8,soleado,laboral,1,8.75,0
Portal Del Norte,4.754521,-74.046076,84,11.09,21,lluvioso,laboral,0,8.33,0
Avenida Chile,4.665855,-74.074947,70,26.55,22,soleado,fin de semana,1,16.83,0
Calle 26,4.615955,-74.072385,51,14.59,4,soleado,fin de semana,1,9.76,1
Gobernacion,4.642477,-74.096455,44,25.93,20,nublado,laboral,1,8.66,1
Calle 100,4.685253,-74.05759,15,27.73,17,nublado,fin de semana,1,9.88,0
Gobernacion,4.642477,-74.096455,34,17.73,9,nublado,laboral,0,2.58,0
Avenida Chile,4.665855,-74.074947,31,16.17,18,lluvioso,laboral,0,6.55,1
Calle 100,4.685253,-74.05759,66,20.53,22,nublado,fin de semana,0,16.28,0
Gobernacion,4.642477,-74.096455,32,16.68,1,nublado,fin de semana,0,9.88,0
Portal Sur,4.596921,-74.169589,50,22.87,0,soleado,laboral,1,11.84,0
Calle 100,4.685253,-74.05759,70,25.5,11,nublado,fin de semana,0,9.24,1
Portal Del Norte,4.754521,-74.046076,41,23.47,5,lluvioso,laboral,1,2.76,0
Calle 100,4.685253,-74.05759,22,29.89,22,soleado,fin de semana,0,11.9,0
Calle 26,4.615955,-74.072385,77,14.25,0,lluvioso,fin de semana,1,12.38,0
Portal El Dorado,4.681081,-74.121352,36,9.25,10,lluvioso,fin de semana,0,16.34,1
Avenida Chile,4.665855,-74.074947,22,17.76,22,nublado,laboral,1,6.5,1
Portal El Dorado,4.681081,-74.121352,33,25.17,16,soleado,laboral,1,11.77,1
Portal Del Norte,4.754521,-74.046076,82,21.59,15,soleado,fin de semana,1,18.18,0
Gobernacion,4.642477,-74.096455,47,24.67,7,nublado,laboral,1,1.93,1
Portal Del Norte,4.754521,-74.046076,37,7.18,8,nublado,fin de semana,0,2.27,1
Gobernacion,4.642477,-74.096455,93,21.37,21,lluvioso,laboral,1,9.22,0
Portal Del Norte,4.754521,-74.046076,13,27.16,19,lluvioso,fin de semana,0,15.53,0
Calle 26,4.615955,-74.072385,93,9.65,17,lluvioso,fin de semana,1,17.04,0
Calle 26,4.615955,-74.072385,81,17.61,21,lluvioso,laboral,0,4.7,1
Gobernacion,4.642477,-74.096455,82,25.4,23,nublado,fin de semana,1,6.07,0
Gobernacion,4.642477,-74.096455,67,28.07,20,lluvioso,fin de semana,1,13.67,0
Portal El Dorado,4.681081,-74.121352,48,12.33,18,soleado,fin de semana,1,17.1,0
Portal Sur,4.596921,-74.169589,73,6.76,21,nublado,laboral,0,5.16,1
Calle 100,4.685253,-74.05759,58,21.26,19,soleado,fin de semana,0,5.11,0
Gobernacion,4.642477,-74.096455,88,28.9,15,lluvioso,fin de semana,0,13.4,0
Calle 26,4.615955,-74.072385,34,16.02,21,lluvioso,laboral,0,15.77,0
Portal Del Norte,4.754521,-74.046076,56,13.91,4,soleado,laboral,1,7.69,0
Calle 26,4.615955,-74.072385,11,28.37,19,soleado,fin de semana,1,15.35,0
Avenida Chile,4.665855,-74.074947,95,26.26,22,lluvioso,laboral,0,4.09,1
Portal El Dorado,4.681081,-74.121352,81,10.72,2,lluvioso,fin de semana,1,2.91,1
Gobernacion,4.642477,-74.096455,55,22.86,23,lluvioso,fin de semana,1,9.47,0
Avenida Chile,4.665855,-74.074947,62,6.47,10,soleado,fin de semana,1,18.04,1
Avenida Chile,4.665855,-74.074947,96,14.89,22,lluvioso,fin de semana,1,2.12,0
Calle 26,4.615955,-74.072385,83,10.94,17,soleado,laboral,0,15.25,1
Calle 26,4.615955,-74.072385,31,24.22,13,lluvioso,fin de semana,1,1.62,0
Portal El Dorado,4.681081,-74.121352,54,17.19,16,soleado,fin de semana,0,15.39,0
Portal El Dorado,4.681081,-74.121352,74,28.84,22,nublado,laboral,0,4.89,0
Calle 100,4.685253,-74.05759,89,16.28,7,lluvioso,fin de semana,1,19.41,1
Portal Del Norte,4.754521,-74.046076,70,27.56,23,soleado,laboral,1,16.46,1
Gobernacion,4.642477,-74.096455,18,29.56,11,lluvioso,laboral,1,13.76,0
Gobernacion,4.642477,-74.096455,71,10.31,10,nublado,fin de semana,0,11.64,0
Calle 100,4.685253,-74.05759,88,26.71,2,lluvioso,fin de semana,0,6.22,0
Avenida Chile,4.665855,-74.074947,32,23.38,15,soleado,fin de semana,1,19.97,0
Portal Sur,4.596921,-74.169589,42,8.09,0,soleado,fin de semana,0,11.19,0
Calle 100,4.685253,-74.05759,66,13.67,17,nublado,fin de semana,1,6.54,1
Portal El Dorado,4.681081,-74.121352,87,17.93,1,nublado,laboral,1,17.5,1
Gobernacion,4.642477,-74.096455,65,11.32,1,soleado,laboral,1,9.0,0
Avenida Chile,4.665855,-74.074947,93,16.78,4,soleado,fin de semana,1,17.65,1
Gobernacion,4.642477,-74.096455,83,6.05,2,nublado,fin de semana,0,18.56,1
Calle 26,4.615955,-74.072385,96,8.28,23,lluvioso,fin de semana,1,7.94,1
Portal Sur,4.596921,-74.169589,75,25.91,11,nublado,fin de semana,1,0.9,0
Calle 100,4.685253,-74.05759,15,14.52,23,soleado,fin de semana,0,5.96,0
Calle 26,4.615955,-74.072385,51,24.67,6,lluvioso,fin de semana,1,9.0,1
Calle 100,4.685253,-74.05759,40,19.27,9,nublado,laboral,0,11.93,0
Portal Sur,4.596921,-74.169589,88,22.87,14,soleado,laboral,0,0.63,1
Portal Sur,4.596921,-74.169589,56,22.35,11,soleado,fin de semana,0,16.75,1
Portal Sur,4.596921,-74.169589,32,12.09,4,nublado,fin de semana,1,3.51,0
Calle 26,4.615955,-74.072385,30,19.29,12,soleado,laboral,1,7.05,0
Portal Del Norte,4.754521,-74.046076,32,25.42,2,nublado,laboral,1,3.43,0
Portal Del Norte,4.754521,-74.046076,11,29.95,15,nublado,laboral,0,5.16,1
Avenida Chile,4.665855,-74.074947,57,8.95,1,soleado,fin de semana,0,2.1,0
Portal Del Norte,4.754521,-74.046076,16,13.23,15,nublado,laboral,0,4.1,0
Portal Sur,4.596921,-74.169589,34,12.03,22,soleado,laboral,0,5.44,0
Avenida Chile,4.665855,-74.074947,75,23.6,16,lluvioso,fin de semana,0,6.42,1
Gobernacion,4.642477,-74.096455,76,19.16,15,lluvioso,fin de semana,1,4.14,0
Portal Sur,4.596921,-74.169589,65,28.45,4,lluvioso,fin de semana,0,8.0,1
Calle 26,4.615955,-74.072385,93,14.17,23,lluvioso,fin de semana,1,7.42,0
Gobernacion,4.642477,-74.096455,78,21.8,12,soleado,laboral,1,13.78,0
Avenida Chile,4.665855,-74.074947,49,21.38,8,soleado,fin de semana,0,19.53,0
Avenida Chile,4.665855,-74.074947,21,6.35,21,soleado,fin de semana,0,10.3,1
Portal Sur,4.596921,-74.169589,64,10.81,13,lluvioso,laboral,1,10.04,1
